koi_score,koi_fwm_stat_sig,koi_srho_err2,koi_dor_err2,koi_dor_err1,koi_incl,koi_prad_err1,koi_count,koi_dor,koi_dikco_mdec_err,koi_period_err1,koi_period_err2,koi_dikco_mra_err,koi_prad_err2,koi_dikco_msky_err,koi_max_sngle_ev,koi_prad,koi_dicco_mdec_err,koi_model_snr,koi_dicco_mra_err,koi_disposition
0.992,0.0,-0.14827,-1.1,1.1,89.47,0.13,4,18.56,0.16,2.174e-05,-2.174e-05,0.22,-0.1,0.19,11.163704,2.89,0.16,107.4,0.24,CONFIRMED
1.0,0.448,-0.97582,-0.644,0.644,89.92,0.91,1,39.183,0.11,7.229e-05,-7.229e-05,0.16,-0.49,0.16,6.4162097,3.38,0.12,37.8,0.15,CONFIRMED
0.0,0.0,-0.05538,-0.706,0.706,87.3,2.59,1,15.534,0.075,2.04e-06,-2.04e-06,0.069,-0.87,0.075,47.533234,10.34,0.067,389.0,0.067,FALSE POSITIVE
,,-0.14255,-0.184,0.184,57.3,27.71,1,2.891,,7.05e-07,-7.05e-07,,-8.6,,,72.77,,89.6,,CANDIDATE
1.0,0.006,-0.3411,-6.9,6.9,88.73,0.44,1,31.24,0.07,1.017e-05,-1.017e-05,0.078,-0.82,0.076,33.115784,11.01,0.07,166.0,0.07,CONFIRMED
1.0,0.0,-0.76068,-1.5,1.5,89.87,0.18,2,20.09,0.14,2.032e-05,-2.032e-05,0.11,-0.2,0.15,7.0046763,2.11,0.18,39.3,0.12,CONFIRMED
1.0,0.02,-0.84727,-2.9,2.9,88.96,0.12,2,14.18,0.33,1.941e-05,-1.941e-05,0.28,-0.14,0.31,3.765065,1.46,0.45,21.3,0.28,CONFIRMED
1.0,0.871,-0.00449,-4.4,4.4,87.92,0.6,1,14.46,0.084,8.06e-06,-8.06e-06,0.081,-0.21,0.084,7.331596,2.44,0.084,70.8,0.081,CONFIRMED
0.037,0.0,-0.05173,-3.2,3.2,81.71,1.32,1,6.53,0.15,1.118e-05,-1.118e-05,0.11,-0.44,0.15,7.281016,3.86,0.14,50.3,0.12,FALSE POSITIVE
0.0,0.0,-0.00246,-0.818,0.818,44.81,6.9,1,1.749,0.067,3.089e-06,-3.089e-06,0.073,-2.47,0.074,25.09719,26.25,0.07,110.2,0.069,FALSE POSITIVE
1.0,0.0,-0.15635,-1.0,1.0,85.95,0.8,1,10.41,0.068,3.37e-07,-3.37e-07,0.068,-0.99,0.068,50.342957,8.99,0.087,568.2,0.071,CONFIRMED
